分类: 其他, 名称: 浙江钱江, 有效: 2, IPv4: 2, IPv6: 0, 最小延迟: 267 ms, 最高速率: 0.59 MiB/s, 平均速率: 0.56 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 其他, 名称: 浙江民生, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 348 ms, 最高速率: 0.73 MiB/s, 平均速率: 0.73 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 其他, 名称: 苏州4k, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 657 ms, 最高速率: 1.07 MiB/s, 平均速率: 1.07 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 其他, 名称: 玛纳斯综合, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 372 ms, 最高速率: 0.04 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 其他, 名称: 萧山生活, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 870 ms, 最高速率: 0.18 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 其他, 名称: 陕西银龄频道, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 1603 ms, 最高速率: 0.01 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 其他, 名称: 陕西都市青春频道, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 171 ms, 最高速率: 0.30 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: 720x576, 平均帧率: 50.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 其他, 名称: 绍兴公共, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 327 ms, 最高速率: 0.20 MiB/s, 平均速率: 0.20 MiB/s, 最高分辨率: 1280x720, 平均帧率: 30.0, 视频编解码器: h264, 音频编解码器: aac
分类: 其他, 名称: 浙江钱江都市, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 其他, 名称: 萧山综合, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
